sample_id,sample_role,condition,spectrum_file,relative_path,filter_label,filter_nm,bin_start_nm,bin_end_nm,bin_center_nm,mean_intensity_10nm,median_intensity_10nm,std_intensity_10nm,points_in_bin
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,320.0,330.0,324.932818,294.892727,294.435,28.865607,22.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,330.0,340.0,334.832955,309.557273,312.08,22.558006,22.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,340.0,350.0,344.935087,295.64,284.35,42.819456,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,350.0,360.0,355.014136,315.515909,317.12,29.034212,22.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,360.0,370.0,365.069739,298.051304,302.0,27.307867,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,370.0,380.0,375.102227,303.371364,300.74,37.415166,22.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,380.0,390.0,385.110913,300.024348,299.48,46.607738,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,390.0,400.0,395.096045,322.047273,322.16,37.897042,22.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,400.0,410.0,405.057435,306.81913,312.08,27.075502,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,410.0,420.0,414.995091,317.577273,317.12,40.083276,22.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,420.0,430.0,424.908696,298.71,302.0,28.530923,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,430.0,440.0,435.01787,304.408261,304.52,35.735333,23.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,440.0,450.0,445.101783,304.845652,299.48,35.399383,23.0
